Customer Code,Recency,Frequency,Monetary,Total Quantity,R_Score,F_Score,M_Score,RFM_Score_Sum,RFM_Segment,Cluster_ID,Cluster_Name
S009,79,29,6978.6,348.0,9,1,1,11,New Customers,4,Segment 3
S010,1,358,334387.65,24803.0,10,1,1,12,New Customers,5,Sub-Segment 1
S011,1,24,4612.95,358.0,10,1,1,12,New Customers,4,Segment 3
S012,3,261,69404.25,5591.0,10,1,1,12,New Customers,4,Segment 3
S013,580,1,86.4,32.0,1,1,1,3,Lost Customers,4,Segment 3
S014,212,17,61003.95,3140.0,7,1,1,9,New Customers,4,Segment 3
S015,573,1,191.4,16.0,1,1,1,3,Lost Customers,4,Segment 3
S016,252,5,810.0,400.0,6,1,1,8,New Customers,4,Segment 3
S017,1,6914,12384845.235,4809079.0,10,8,10,28,Champions,1,Segment 1
S018,93,30,7130.25,456.0,9,1,1,11,New Customers,4,Segment 3
S019,488,3,2430.0,120.0,2,1,1,4,Lost Customers,4,Segment 3
S020,9,20,4733.1,348.0,10,1,1,12,New Customers,4,Segment 3
S021,8,46,24363.75,1677.0,10,1,1,12,New Customers,4,Segment 3
S022,113,24,6778.5,472.0,9,1,1,11,New Customers,4,Segment 3
S023,2,162,73292.55,14161.0,10,1,1,12,New Customers,4,Segment 3
S024,2,40,116181.0,9540.0,10,1,1,12,New Customers,4,Segment 3
S025,68,7,2060.25,138.0,9,1,1,11,New Customers,4,Segment 3
S026,2,82,43004.7,2973.0,10,1,1,12,New Customers,4,Segment 3
S028,510,2,686.4,52.0,2,1,1,4,Lost Customers,4,Segment 3
S030,335,5,1217.7,64.0,5,1,1,7,New Customers,4,Segment 3
S031,2,64,18354.0,641.0,10,1,1,12,New Customers,4,Segment 3
S033,1,143,52294.2,4992.0,10,1,1,12,New Customers,4,Segment 3
S034,290,6,6967.8,630.0,6,1,1,8,New Customers,4,Segment 3
S035,1,103,21300.0,2171.0,10,1,1,12,New Customers,4,Segment 3
S036,16,7,1711.2,112.0,10,1,1,12,New Customers,4,Segment 3
S037,14,45,15558.6,1096.0,10,1,1,12,New Customers,4,Segment 3
S038,100,47,13256.85,764.0,9,1,1,11,New Customers,4,Segment 3
S040,363,105,182942.1,18581.0,4,1,1,6,New Customers,4,Segment 3
S041,245,41,9038.55,863.0,6,1,1,8,New Customers,4,Segment 3
S043,1,120,42354.3,3137.0,10,1,1,12,New Customers,4,Segment 3
S044,467,8,2820.9,179.0,2,1,1,4,Lost Customers,4,Segment 3
S045,528,2,1395.3,119.0,1,1,1,3,Lost Customers,4,Segment 3
S046,544,1,61.5,1.0,1,1,1,3,Lost Customers,4,Segment 3
S047,6,91,21931.8,4282.0,10,1,1,12,New Customers,4,Segment 3
S048,477,5,2751.9,221.0,2,1,1,4,Lost Customers,4,Segment 3
S049,54,5,23439.149999999998,1786.0,10,1,1,12,New Customers,4,Segment 3
S050,1,93,62309.4,4909.0,10,1,1,12,New Customers,4,Segment 3
S051,415,1,850.5,45.0,3,1,1,5,Lost Customers,4,Segment 3
S052,1,35,8420.7,782.0,10,1,1,12,New Customers,4,Segment 3
S053,8,42,6033.6,622.0,10,1,1,12,New Customers,4,Segment 3
S054,84,5,3903.3,374.0,9,1,1,11,New Customers,4,Segment 3
S055,1,1452,770052.9,55591.0,10,2,1,13,New Customers,5,Sub-Segment 1
S056,1,106,26186.1,1441.0,10,1,1,12,New Customers,4,Segment 3
S057,156,2,868.5,60.0,8,1,1,10,New Customers,4,Segment 3
S058,3,31,13734.3,1154.0,10,1,1,12,New Customers,4,Segment 3
S059,112,7,1353.9,175.0,9,1,1,11,New Customers,4,Segment 3
